
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
| Gaia DR2 124249418143641216   | 050.01932178629   | +31.69721198328   | 124249418143641216   | 6.3154    | 0.0633   | 22.938    | 0.094    | -34.665    | 0.066    | 0     | 12.4525   | 0.0012   | 13.0376   | 0.0043    | 11.7490   | 0.0032    | 1.242      | 1.2886   | 0.5851   | 0.7035   | 0.27     | 0.92    | 4871.32   | 0.1353   | 0.0460     | -135.1722797   | 58.99810608   | -57.6197386    | 0.87648   | -2.306199997   | -13.39455417   | -3.336089805   |
| Gaia DR2 124501446824625920   | 051.47135218091   | +32.03348100018   | 124501446824625920   | 5.1246    | 0.0578   | 17.167    | 0.116    | -30.341    | 0.066    | 0     | 11.9919   | 0.0012   | 12.4655   | 0.0044    | 11.3789   | 0.0039    | 1.223      | 1.0867   | 0.4736   | 0.6130   | -0.35    | 1.69    | 5006.00   | 0.2813   | 0.1373     | -168.7659102   | 70.66429578   | -67.84538724   | 1.03605   | -3.579502566   | -14.23841947   | -4.959048927   |
| Gaia DR2 124962833688209024   | 051.73454808181   | +33.85589479529   | 124962833688209024   | 5.3518    | 0.0644   | 16.396    | 0.086    | -33.250    | 0.071    | 0     | 12.0154   | 0.0017   | 12.4835   | 0.0067    | 11.4024   | 0.0045    | 1.226      | 1.0811   | 0.4681   | 0.6130   | -0.21    | 1.79    | 5052.00   | 0.1848   | 0.0897     | -162.0521718   | 71.04709653   | -60.0466156    | 1.01562   | -3.37905151    | -13.89621348   | -7.03996704    |
| Gaia DR2 125313573601126656   | 048.61734263620   | +32.73730776100   | 125313573601126656   | 4.1645    | 0.0477   | 14.303    | 0.070    | -23.716    | 0.057    | 0     | 12.6048   | 0.0005   | 13.1117   | 0.0017    | 11.9595   | 0.0017    | 1.231      | 1.1522   | 0.5070   | 0.6452   | -1.90    | 1.76    | 4965.67   | 0.4700   | 0.2300     | -202.5264047   | 95.5641331    | -86.6637737    | 1.00505   | -4.164472955   | -13.84752642   | -4.443310895   |
| Gaia DR2 125907211097148288   | 049.73626246912   | +34.39487681058   | 125907211097148288   | 4.8215    | 0.0340   | 17.836    | 0.048    | -27.756    | 0.041    | 0     | 13.2428   | 0.0008   | 13.8530   | 0.0025    | 12.5120   | 0.0024    | 1.253      | 1.3411   | 0.6102   | 0.7309   | 0.14     | 3.57    | 4869.85   |          |            | -176.8227716   | 84.07844795   | -68.41711784   | 0.84449   | -1.186108582   | -13.92589879   | -4.62450876    |
| Gaia DR2 128095411034209536   | 038.50224721848   | +28.32402447942   | 128095411034209536   | 24.1141   | 0.0604   | 90.976    | 0.086    | -140.517   | 0.076    | 0     | 12.0854   | 0.0010   | 13.2426   | 0.0035    | 11.0305   | 0.0029    | 1.378      | 2.2121   | 1.1572   | 1.0549   | 0.31     | 1.09    | 4068.73   | 0.1860   | 0.1037     | -30.93699357   | 18.70385732   | -20.31723082   | 0.5643    | -2.633718825   | -13.51484408   | -7.565052274   |
| Gaia DR2 129611603209043584   | 040.72389091746   | +29.72019203185   | 129611603209043584   | 4.5136    | 0.0238   | 20.555    | 0.048    | -22.648    | 0.039    | 0     | 13.7863   | 0.0005   | 14.4857   | 0.0024    | 12.9804   | 0.0014    | 1.28       | 1.5053   | 0.6994   | 0.8059   | 1.48     | 6.55    | 4396.79   |          |            | -170.7867492   | 98.2573127    | -101.3019772   | 0.78702   | 1.476326857    | -13.21630845   | -3.096485827   |
| Gaia DR2 129784016080489856   | 039.81302840864   | +29.70445450950   | 129784016080489856   | 4.6779    | 0.0476   | 19.579    | 0.085    | -26.480    | 0.072    | 0     | 12.7168   | 0.0002   | 13.2209   | 0.0007    | 12.0760   | 0.0019    | 1.23       | 1.1449   | 0.5041   | 0.6408   | 2.19     | 1.15    | 4934.50   | 0.2390   | 0.1205     | -162.9205863   | 96.7162731    | -99.00053315   | 0.94325   | 0.601808071    | -13.41802582   | -6.885795346   |
| Gaia DR2 130534883739811456   | 041.86501735930   | +31.83293580898   | 130534883739811456   | 4.8770    | 0.0379   | 17.664    | 0.093    | -28.348    | 0.081    | 0     | 12.3317   | 0.0005   | 12.8127   | 0.0019    | 11.7125   | 0.0013    | 1.224      | 1.1002   | 0.4810   | 0.6192   | -5.20    | 2.72    | 5013.55   | 0.1330   | 0.0350     | -160.9914331   | 93.17235411   | -86.27874596   | 0.99488   | -6.201639029   | -15.36449368   | -5.091171494   |
| Gaia DR2 135522642143740928   | 044.27320213095   | +31.81016246545   | 135522642143740928   | 4.6080    | 0.0251   | 14.678    | 0.050    | -28.327    | 0.035    | 0     | 13.3479   | 0.0010   | 13.9793   | 0.0042    | 12.5990   | 0.0033    | 1.259      | 1.3803   | 0.6314   | 0.7489   | -4.17    | 2.71    | 4869.65   | 0.3650   | 0.1600     | -175.0351819   | 93.42477536   | -87.91220092   | 0.8422    | -6.908861356   | -14.84601747   | -6.965799422   |
