
+-------------------------------+-------------------+-------------------+----------------------+-----------+----------+-----------+----------+------------+----------+-------+-----------+----------+-----------+-----------+-----------+-----------+------------+----------+----------+----------+----------+---------+-----------+----------+------------+----------------+---------------+----------------+-----------+----------------+----------------+----------------+
| DR2Name                       | RA_ICRS           | DE_ICRS           | Source               | Plx       | e_Plx    | pmRA      | e_pmRA   | pmDE       | e_pmDE   | Dup   | Gmag      | e_Gmag   | BPmag     | e_BPmag   | RPmag     | e_RPmag   | E(BR/RP)   | BP-RP    | BP-G     | G-RP     | RV       | e_RV    | Teff      | AG       | E(BP-RP)   | x              | y             | z              | mass      | u              | v              | w              |
| Gaia DR2 63547378335443200    | 055.81129975933   | +21.15258636764   | 63547378335443200    | 7.5968    | 0.0479   | 21.736    | 0.107    | -46.964    | 0.058    | 0     | 12.3069   | 0.0013   | 12.9222   | 0.0052    | 11.5751   | 0.0034    | 1.252      | 1.3472   | 0.6154   | 0.7318   | 5.65     | 1.34    | 4931.50   | 0.1280   | 0.0627     | -115.466454    | 24.39544677   | -58.31080573   | 0.83747   | -4.658915978   | -14.45795992   | -6.329086609   |
| Gaia DR2 63592767549850112    | 056.29127563033   | +21.70438625593   | 63592767549850112    | 7.8283    | 0.0466   | 21.273    | 0.098    | -47.988    | 0.068    | 0     | 9.8363    | 0.0011   | 10.1483   | 0.0036    | 9.3965    | 0.0032    | 1.189      | 0.7519   | 0.3121   | 0.4398   | 6.56     | 0.77    | 5836.69   | 0.0910   | 0.0430     | -112.7068116   | 23.91549325   | -55.16568818   | 1.32102   | -3.885301798   | -13.64523821   | -6.907065006   |
| Gaia DR2 63678907415301120    | 058.12004046564   | +21.56579726847   | 63678907415301120    | 16.5974   | 0.0451   | 37.832    | 0.081    | -106.058   | 0.053    | 0     | 12.6610   | 0.0004   | 13.7683   | 0.0025    | 11.6262   | 0.0013    | 1.369      | 2.1421   | 1.1073   | 1.0348   | 11.37    | 1.02    | 4077.72   | 0.1630   | 0.0927     | -53.89761521   | 9.999876033   | -25.00323899   | 0.59508   | -0.801743292   | -12.72952136   | -10.40632192   |
| Gaia DR2 63730309581781376    | 057.92546642631   | +21.66816744959   | 63730309581781376    | 7.1501    | 0.0502   | 19.021    | 0.095    | -43.661    | 0.062    | 1     | 11.2558   | 0.0018   | 11.7362   | 0.0021    | 10.6701   | 0.0017    | 1.202      | 1.0661   | 0.4804   | 0.5857   | 7.46     | 1.44    | 5120.00   | 0.2005   | 0.1055     | -124.9700121   | 23.68591113   | -58.15482244   | 1.03964   | -3.269285983   | -13.51570725   | -6.840019215   |
| Gaia DR2 63774186970007040    | 058.25997164065   | +21.65989681713   | 63774186970007040    | 9.7306    | 0.0593   | 22.282    | 0.085    | -60.934    | 0.052    | 0     | 10.5122   | 0.0004   | 10.9368   | 0.0012    | 9.9537    | 0.0008    | 1.208      | 0.9831   | 0.4246   | 0.5585   | 8.74     | 0.40    | 5352.06   | 0.1590   | 0.0560     | -92.05766525   | 17.02861521   | -42.38987437   | 1.05789   | -2.981691154   | -12.75920019   | -8.854087358   |
| Gaia DR2 63780401784570496    | 058.16764555842   | +21.83917931914   | 63780401784570496    | 5.2660    | 0.0363   | 11.770    | 0.072    | -34.125    | 0.049    | 0     | 12.5485   | 0.0005   | 13.0734   | 0.0026    | 11.8846   | 0.0015    | 1.237      | 1.1888   | 0.5249   | 0.6639   | 5.73     | 1.91    | 4871.33   | 0.1645   | 0.0590     | -170.0851542   | 32.0898956    | -78.11921489   | 0.92706   | -5.864682907   | -13.80636372   | -8.509266313   |
| Gaia DR2 63849572235829248    | 057.84954625620   | +22.11319085059   | 63849572235829248    | 7.2257    | 0.0430   | 18.652    | 0.100    | -44.565    | 0.054    | 1     | 12.7481   | 0.0011   | 13.4325   | 0.0046    | 11.9576   | 0.0024    | 1.273      | 1.4749   | 0.6844   | 0.7905   | 5.28     | 1.61    | 4454.00   | 0.2897   | 0.1457     | -123.7657868   | 24.34033458   | -56.94659661   | 0.79006   | -5.207333131   | -13.77206072   | -6.450350134   |
| Gaia DR2 63916431989200256    | 056.89244050829   | +21.74661270589   | 63916431989200256    | 7.6131    | 0.0452   | 19.299    | 0.096    | -46.118    | 0.056    | 0     | 11.9942   | 0.0010   | 12.5516   | 0.0038    | 11.3154   | 0.0025    | 1.235      | 1.2362   | 0.5574   | 0.6788   | 6.56     | 3.23    | 4869.88   | 0.0752   | 0.0080     | -116.4662336   | 23.82062874   | -55.87340178   | 0.88621   | -4.200646294   | -12.9196624    | -7.028809524   |
| Gaia DR2 64066107307543296    | 057.72446672299   | +22.54787159771   | 64066107307543296    | 7.2674    | 0.0524   | 18.019    | 0.108    | -45.104    | 0.049    | 1     | 12.3862   | 0.0012   | 12.9993   | 0.0042    | 11.6473   | 0.0029    | 1.258      | 1.3520   | 0.6132   | 0.7388   | 3.36     | 1.08    | 4828.89   | 0.1280   | 0.0620     | -123.1016363   | 25.14883854   | -56.10423343   | 0.83955   | -6.944606561   | -13.85203159   | -6.195680957   |
| Gaia DR2 64095656682494720    | 057.91273978975   | +22.75008098362   | 64095656682494720    | 7.2402    | 0.0443   | 19.770    | 0.079    | -45.596    | 0.046    | 0     | 11.8556   | 0.0004   | 12.3796   | 0.0016    | 11.1998   | 0.0009    | 1.232      | 1.1798   | 0.5240   | 0.6558   | 6.01     | 0.46    | 4866.64   | 0.0160   | 0.0080     | -123.8122054   | 25.32608578   | -55.72794604   | 0.92766   | -4.050597426   | -14.46153973   | -6.78266406    |
| Gaia DR2 64148738180119680    | 057.69188781361   | +22.93048322419   | 64148738180119680    | 7.2894    | 0.0389   | 19.446    | 0.085    | -44.923    | 0.057    | 1     | 12.5577   | 0.0019   | 13.2520   | 0.0074    | 11.7597   | 0.0050    | 1.275      | 1.4924   | 0.6943   | 0.7981   | -2.60    | 12.99   | 4434.75   | 0.5800   | 0.2830     | -122.8360712   | 25.79073117   | -55.37102516   | 0.81089   | -11.69532255   | -15.34861153   | -3.166752057   |
| Gaia DR2 64172038380708224    | 057.58886081658   | +23.09615125838   | 64172038380708224    | 7.4803    | 0.0434   | 19.650    | 0.083    | -46.397    | 0.050    | 0     | 11.1654   | 0.0013   | 11.6227   | 0.0021    | 10.5827   | 0.0012    | 1.21       | 1.0400   | 0.4573   | 0.5828   | 7.67     | 0.54    | 5175.50   | 0.1330   | 0.0603     | -119.6638488   | 25.56005223   | -53.83875658   | 1.0393    | -2.523240372   | -13.37692679   | -7.614564079   |
| Gaia DR2 64276315888567424    | 054.62432382443   | +21.56489033847   | 64276315888567424    | 7.3092    | 0.0467   | 19.685    | 0.090    | -45.153    | 0.070    | 0     | 12.3888   | 0.0014   | 13.0137   | 0.0058    | 11.6457   | 0.0038    | 1.257      | 1.3680   | 0.6248   | 0.7431   | 6.55     | 2.28    | 4807.00   | 0.1307   | 0.0630     | -118.9875281   | 27.81094898   | -61.53349909   | 0.83697   | -3.989734095   | -13.46911969   | -7.640997218   |
| Gaia DR2 64317998547641344    | 055.60007599270   | +21.47328416508   | 64317998547641344    | 7.7195    | 0.0461   | 20.920    | 0.085    | -47.982    | 0.059    | 0     | 9.7065    | 0.0004   | 10.0014   | 0.0014    | 9.2833    | 0.0014    | 1.188      | 0.7181   | 0.2949   | 0.4232   | 6.63     | 1.00    | 5954.34   | 0.0663   | 0.0330     | -113.5608643   | 24.8288682    | -57.17325268   | 1.36482   | -3.990711052   | -13.82612937   | -7.418709683   |
| Gaia DR2 64380636350588544    | 055.87979915212   | +22.15818094979   | 64380636350588544    | 7.3816    | 0.0623   | 19.727    | 0.122    | -45.725    | 0.064    | 1     | 10.2288   | 0.0008   | 10.6132   | 0.0014    | 9.7132    | 0.0019    | 1.2        | 0.9000   | 0.3844   | 0.5156   | 6.73     | 0.65    | 5467.75   | 0.3350   | 0.1573     | -119.3077295   | 26.73781981   | -58.34058714   | 1.24863   | -3.64922734    | -13.53857082   | -7.513674878   |
| Gaia DR2 64438841747360768    | 055.74906450406   | +22.42407368422   | 64438841747360768    | 7.3968    | 0.0357   | 21.418    | 0.068    | -44.402    | 0.040    | 0     | 13.3696   | 0.0007   | 14.1993   | 0.0034    | 12.4860   | 0.0018    | 1.303      | 1.7133   | 0.8297   | 0.8836   | 10.99    | 3.57    | 4095.00   | 0.1427   | 0.0710     | -119.0367609   | 27.32594862   | -57.97395354   | 0.70968   | 0.845402529    | -12.64301319   | -8.170507679   |
| Gaia DR2 64449729487990912    | 055.60019399966   | +22.42094757364   | 64449729487990912    | 7.2483    | 0.0535   | 19.637    | 0.097    | -44.456    | 0.065    | 0     | 10.2034   | 0.0016   | 10.5600   | 0.0046    | 9.7123    | 0.0040    | 1.198      | 0.8477   | 0.3565   | 0.4912   | 6.59     | 1.27    | 5626.00   | 0.2100   | 0.1020     | -121.325056    | 28.09842383   | -59.36664954   | 1.26676   | -3.516710208   | -13.37220735   | -7.282119048   |
| Gaia DR2 64575730944903552    | 054.35029445846   | +22.35078867134   | 64575730944903552    | 7.5332    | 0.0888   | 15.584    | 0.239    | -48.797    | 0.179    | 0     | 9.0695    | 0.0005   | 9.3569    | 0.0015    | 8.6620    | 0.0021    | 1.183      | 0.6950   | 0.2874   | 0.4076   | 5.59     | 1.34    | 6135.20   | 0.3845   | 0.1923     | -115.4893981   | 28.68576903   | -58.82953212   | 1.56382   | -6.064348657   | -12.54530168   | -10.12787519   |
| Gaia DR2 64671903852618624    | 054.59417918101   | +22.49948541185   | 64671903852618624    | 7.2484    | 0.0492   | 21.403    | 0.097    | -44.945    | 0.068    | 0     | 9.9338    | 0.0009   | 10.2459   | 0.0023    | 9.4957    | 0.0022    | 1.188      | 0.7501   | 0.3120   | 0.4381   | 6.28     | 1.03    | 5879.75   | 0.0580   | 0.0260     | -120.3373634   | 29.71178864   | -60.57851976   | 1.33879   | -3.242584958   | -14.23711602   | -7.016633367   |
| Gaia DR2 64739248940235392    | 056.24559769587   | +22.03226374356   | 64739248940235392    | 7.0567    | 0.0583   | 18.493    | 0.141    | -43.622    | 0.070    | 0     | 9.3543    | 0.0003   | 9.6280    | 0.0013    | 8.9570    | 0.0016    | 1.184      | 0.6710   | 0.2736   | 0.3974   | 5.32     | 0.19    | 6253.33   | 0.2950   | 0.1410     | -125.1203922   | 27.19059423   | -60.72354522   | 1.52351   | -5.063634762   | -13.69202329   | -6.882048109   |
| Gaia DR2 64770241424108032    | 056.17434663376   | +22.46435229204   | 64770241424108032    | 7.4987    | 0.0515   | 21.873    | 0.104    | -45.322    | 0.061    | 0     | 10.5823   | 0.0006   | 10.9713   | 0.0018    | 10.0529   | 0.0019    | 1.206      | 0.9184   | 0.3890   | 0.5294   | 5.60     | 0.74    | 5547.00   | 0.1345   | 0.0463     | -117.8400768   | 26.42031454   | -56.56716456   | 1.16108   | -3.890721864   | -14.00281984   | -5.795844556   |
| Gaia DR2 64804841680675200    | 056.72201501071   | +22.88075414943   | 64804841680675200    | 6.7321    | 0.0486   | 19.054    | 0.093    | -41.517    | 0.058    | 0     | 11.5518   | 0.0014   | 12.0219   | 0.0036    | 10.9522   | 0.0023    | 1.216      | 1.0697   | 0.4701   | 0.5996   | 6.57     | 0.86    | 5021.88   | 0.1603   | 0.0793     | -131.9977679   | 29.35197518   | -61.48220852   | 1.00999   | -3.138148035   | -13.98410169   | -6.719958499   |
| Gaia DR2 64808204638390912    | 056.66006061832   | +22.91959021054   | 64808204638390912    | 7.2099    | 0.0541   | 20.220    | 0.101    | -43.552    | 0.071    | 0     | 9.2998    | 0.0003   | 9.5712    | 0.0014    | 8.9065    | 0.0015    | 1.183      | 0.6648   | 0.2715   | 0.3933   | 5.59     | 0.45    | 6269.20   | 0.2923   | 0.1510     | -123.2029829   | 27.56565627   | -57.42927946   | 1.52654   | -3.946690036   | -13.64315769   | -6.016033771   |
| Gaia DR2 64879402312818944    | 056.21357742537   | +23.26873059457   | 64879402312818944    | 7.2541    | 0.0547   | 20.623    | 0.101    | -44.131    | 0.067    | 0     | 8.8772    | 0.0003   | 9.0999    | 0.0013    | 8.5451    | 0.0015    | 1.176      | 0.5548   | 0.2227   | 0.3322   | 6.51     | 0.77    | 6621.27   | 0.1983   | 0.1403     | -122.1445332   | 28.65690436   | -57.12086828   | 1.67186   | -2.904993702   | -13.58770255   | -6.614480951   |
| Gaia DR2 64899017426872960    | 056.69617935088   | +22.91438594245   | 64899017426872960    | 7.1931    | 0.0499   | 19.021    | 0.096    | -44.985    | 0.060    | 0     | 10.3434   | 0.0010   | 10.6947   | 0.0042    | 9.8549    | 0.0023    | 1.199      | 0.8398   | 0.3513   | 0.4885   | 7.07     | 0.55    | 5589.87   | 0.1517   | 0.0595     | -123.5252576   | 27.5681134    | -57.52277561   | 1.23782   | -3.11503954    | -13.59311438   | -7.761958913   |
| Gaia DR2 64913452814489216    | 056.95058341387   | +23.21789013771   | 64913452814489216    | 7.3186    | 0.0548   | 19.930    | 0.124    | -45.884    | 0.066    | 0     | 10.9430   | 0.0014   | 11.3582   | 0.0025    | 10.3998   | 0.0017    | 1.203      | 0.9584   | 0.4152   | 0.5432   | 8.01     | 0.83    | 5332.00   | 0.0925   | 0.0470     | -121.7542813   | 27.25492584   | -55.70605437   | 1.0953    | -1.996315288   | -13.69520311   | -7.914359731   |
| Gaia DR2 64923279699744256    | 057.25981599625   | +23.25224525004   | 64923279699744256    | 7.1188    | 0.0413   | 19.824    | 0.085    | -44.360    | 0.055    | 0     | 11.4698   | 0.0013   | 11.9406   | 0.0021    | 10.8771   | 0.0014    | 1.211      | 1.0635   | 0.4708   | 0.5927   | 5.80     | 0.53    | 5001.00   | 0.1277   | 0.0623     | -125.482437    | 27.62395055   | -56.78065798   | 1.00331   | -3.810616472   | -14.24250222   | -6.614685161   |
| Gaia DR2 64924413571101952    | 057.48548895813   | +23.21843739441   | 64924413571101952    | 6.7989    | 0.0499   | 19.087    | 0.094    | -43.220    | 0.059    | 1     | 10.1345   | 0.0006   | 10.4607   | 0.0010    | 9.6749    | 0.0009    | 1.193      | 0.7858   | 0.3263   | 0.4596   | 6.97     | 1.08    | 5848.70   | 0.1990   | 0.0985     | -131.5999629   | 28.51115429   | -59.17807485   | 1.3213    | -2.827345999   | -14.56325511   | -7.338656471   |
| Gaia DR2 64933759417769984    | 057.18298747937   | +23.25962123455   | 64933759417769984    | 7.1905    | 0.0534   | 18.672    | 0.142    | -45.196    | 0.074    | 0     | 8.3242    | 0.0004   | 8.4735    | 0.0014    | 8.0818    | 0.0009    | 1.172      | 0.3918   | 0.1493   | 0.2425   | 10.87    | 1.01    | 7471.93   |          |            | -124.160191    | 27.47387963   | -56.30888648   | 1.96516   | 0.309666391    | -12.82755327   | -9.422395519   |
| Gaia DR2 64934893291213952    | 057.11688292288   | +23.30056307272   | 64934893291213952    | 7.4468    | 0.0425   | 20.600    | 0.095    | -45.395    | 0.050    | 0     | 12.2471   | 0.0015   | 12.8515   | 0.0051    | 11.5188   | 0.0040    | 1.253      | 1.3327   | 0.6044   | 0.7283   | -0.11    | 4.22    | 4689.31   | 0.0803   | 0.0625     | -119.839785    | 26.6915758    | -54.39499427   | 0.85208   | -9.002420132   | -14.85954591   | -3.897772504   |
| Gaia DR2 64936508198907904    | 057.18936709737   | +23.33871889356   | 64936508198907904    | 7.3793    | 0.0400   | 18.997    | 0.084    | -45.738    | 0.051    | 0     | 12.8952   | 0.0012   | 13.6096   | 0.0042    | 12.0900   | 0.0025    | 1.274      | 1.5196   | 0.7144   | 0.8052   | 7.34     | 4.03    | 4561.95   | 0.3240   | 0.1523     | -121.0157045   | 26.8979789    | -54.73397162   | 0.76503   | -2.795463324   | -13.14032186   | -7.786398684   |
| Gaia DR2 64941211186036352    | 057.14388404828   | +23.43459722766   | 64941211186036352    | 7.2793    | 0.0463   | 19.554    | 0.083    | -45.042    | 0.053    | 0     | 10.2111   | 0.0009   | 10.5424   | 0.0025    | 9.7459    | 0.0018    | 1.194      | 0.7964   | 0.3312   | 0.4652   | 6.02     | 0.76    | 5741.00   | 0.0665   | 0.0403     | -122.667687    | 27.50043938   | -55.39373741   | 1.26496   | -3.69342106    | -13.68935385   | -6.918023803   |
| Gaia DR2 64952829074688896    | 056.66674429659   | +23.11013054713   | 64952829074688896    | 7.2612    | 0.0579   | 19.137    | 0.132    | -46.812    | 0.073    | 0     | 9.2880    | 0.0003   | 9.5522    | 0.0013    | 8.9032    | 0.0012    | 1.182      | 0.6490   | 0.2641   | 0.3848   | 6.40     | 1.01    | 6365.25   | 0.2655   | 0.1243     | -122.4074205   | 27.69411293   | -56.70746625   | 1.52714   | -3.771466016   | -14.32214933   | -8.160523192   |
| Gaia DR2 64959662365552384    | 056.78068856976   | +23.22616303803   | 64959662365552384    | 7.2822    | 0.0314   | 19.476    | 0.069    | -45.501    | 0.039    | 0     | 13.1540   | 0.0034   | 13.9202   | 0.0138    | 12.3080   | 0.0093    | 1.291      | 1.6122   | 0.7662   | 0.8460   | 7.63     | 11.61   | 4257.51   | 0.2767   | 0.1343     | -122.2030709   | 27.65111383   | -56.20200374   | 0.73674   | -2.406159582   | -13.51023984   | -7.896302909   |
| Gaia DR2 64960628735279232    | 056.71065324880   | +23.23900554859   | 64960628735279232    | 6.4977    | 0.0654   | 17.963    | 0.149    | -40.401    | 0.070    | 1     | 9.7799    | 0.0003   | 10.0865   | 0.0013    | 9.3400    | 0.0015    | 1.192      | 0.7465   | 0.3066   | 0.4399   | 7.06     | 0.78    | 5945.67   | 0.2865   | 0.1420     | -136.8878083   | 31.12831311   | -63.07121648   | 1.44592   | -2.701636557   | -13.78577036   | -7.326827742   |
| Gaia DR2 64971177174850304    | 056.54194201255   | +23.33979807838   | 64971177174850304    | 8.1318    | 0.0587   | 21.166    | 0.116    | -49.898    | 0.065    | 0     | 9.9921    | 0.0016   | 10.3306   | 0.0045    | 9.5242    | 0.0036    | 1.192      | 0.8064   | 0.3385   | 0.4679   | 6.04     | 0.63    | 5775.00   | 0.1117   | 0.0653     | -109.2668657   | 25.248673     | -50.45626063   | 1.25931   | -3.830759519   | -13.15999396   | -7.190284538   |
| Gaia DR2 64971933089093760    | 056.53493098403   | +23.34732748237   | 64971933089093760    | 7.3212    | 0.0299   | 19.541    | 0.063    | -45.274    | 0.036    | 0     | 13.2397   | 0.0027   | 14.0323   | 0.0111    | 12.3779   | 0.0069    | 1.295      | 1.6544   | 0.7926   | 0.8617   | 7.53     | 3.57    | 4279.00   | 0.0270   | 0.0340     | -121.3608399   | 28.06732148   | -56.0401443    | 0.72609   | -2.398652364   | -13.22192429   | -7.764818303   |
| Gaia DR2 64979732749686016    | 056.75600714500   | +23.49474767234   | 64979732749686016    | 7.4605    | 0.0438   | 19.218    | 0.085    | -44.966    | 0.057    | 1     | 11.2689   | 0.0013   | 11.7249   | 0.0024    | 10.7025   | 0.0017    | 1.199      | 1.0224   | 0.4560   | 0.5664   | 4.86     | 1.18    | 5220.50   | 0.0637   | 0.0385     | -119.3498318   | 27.48137637   | -54.46908055   | 1.0223    | -4.800822063   | -12.9534171    | -6.392709953   |
| Gaia DR2 64980278208557696    | 056.66777396686   | +23.49754170552   | 64980278208557696    | 7.2209    | 0.0480   | 16.380    | 0.084    | -47.044    | 0.054    | 0     | 11.9680   | 0.0030   | 12.6284   | 0.0115    | 11.1919   | 0.0092    | 1.27       | 1.4366   | 0.6604   | 0.7761   | 4.41     | 12.98   | 4515.00   | 0.9187   | 0.4480     | -123.2259819   | 28.52662891   | -56.39238718   | 0.9002    | -6.149982888   | -13.74802876   | -8.69624359    |
| Gaia DR2 64981137202021376    | 056.51728223007   | +23.40532595935   | 64981137202021376    | 7.3527    | 0.0481   | 19.121    | 0.103    | -45.412    | 0.058    | 0     | 12.4060   | 0.0041   | 13.0486   | 0.0152    | 11.6516   | 0.0117    | 1.259      | 1.3970   | 0.6426   | 0.7544   | 2.49     | 7.53    | 4839.00   | 0.1713   | 0.0820     | -120.8440508   | 28.07218935   | -55.73099783   | 0.83195   | -6.989486879   | -14.00820524   | -5.885461204   |
| Gaia DR2 64981931772948480    | 056.57505930427   | +23.48646361761   | 64981931772948480    | 7.1185    | 0.0535   | 19.689    | 0.112    | -43.278    | 0.061    | 0     | 10.3610   | 0.0006   | 10.8609   | 0.0020    | 9.7257    | 0.0013    | 1.227      | 1.1352   | 0.4999   | 0.6353   | 5.16     | 1.21    | 4974.62   | 0.9340   | 0.4380     | -124.9039341   | 29.05429346   | -57.35015254   | 1.22615   | -4.170274162   | -13.63457198   | -6.184753566   |
| Gaia DR2 64985127228608128    | 056.61581291094   | +23.59252113528   | 64985127228608128    | 7.2581    | 0.0484   | 18.525    | 0.093    | -44.743    | 0.056    | 0     | 12.5949   | 0.0051   | 13.3143   | 0.0128    | 11.7198   | 0.0097    | 1.332      | 1.5945   | 0.7194   | 0.8751   | 6.25     | 1.23    | 4387.00   |          |            | -122.5764225   | 28.62117387   | -56.01970096   | 0.80386   | -3.657145632   | -13.02459019   | -7.522182987   |
| Gaia DR2 64989490915460608    | 057.04583027944   | +23.50681736021   | 64989490915460608    | 7.3428    | 0.0395   | 19.745    | 0.057    | -44.541    | 0.037    | 0     | 13.7323   | 0.0009   | 14.6275   | 0.0076    | 12.8008   | 0.0030    | 1.326      | 1.8267   | 0.8952   | 0.9316   | 13.10    | 16.80   | 4138.37   | 0.0520   | 0.0275     | -121.5400417   | 27.52793694   | -54.93237278   | 0.67531   | 2.749240811    | -11.81782402   | -9.419452428   |
| Gaia DR2 64990586130069504    | 056.90846391290   | +23.46785524272   | 64990586130069504    | 7.2462    | 0.0293   | 21.241    | 0.056    | -44.880    | 0.039    | 0     | 13.1315   | 0.0017   | 13.8916   | 0.0070    | 12.2951   | 0.0048    | 1.284      | 1.5965   | 0.7601   | 0.8364   | 8.37     | 3.54    | 4366.75   | 0.2035   | 0.1007     | -123.0152879   | 28.02570356   | -55.91519242   | 0.74043   | -1.073390093   | -13.94772268   | -7.253406928   |
| Gaia DR2 64999588381514496    | 057.07051867859   | +23.63659067909   | 64999588381514496    | 7.0959    | 0.0463   | 18.395    | 0.091    | -44.798    | 0.064    | 1     | 9.9861    | 0.0004   | 10.2942   | 0.0015    | 9.5483    | 0.0018    | 1.19       | 0.7459   | 0.3081   | 0.4378   | 5.94     | 0.34    | 5886.20   | 0.0685   | 0.0318     | -125.8365722   | 28.68100706   | -56.59413557   | 1.33745   | -3.941831309   | -13.79708244   | -7.613429198   |
| Gaia DR2 65004712279475712    | 056.72404120206   | +23.58336016321   | 65004712279475712    | 7.4106    | 0.0434   | 21.081    | 0.089    | -45.299    | 0.054    | 0     | 10.3833   | 0.0006   | 10.7260   | 0.0017    | 9.9033    | 0.0015    | 1.198      | 0.8227   | 0.3427   | 0.4799   | 6.28     | 0.77    | 5642.75   | 0.0362   | 0.0165     | -120.1534047   | 27.86326304   | -54.73800538   | 1.21465   | -2.997563164   | -13.77120628   | -6.479821959   |
| Gaia DR2 65010239900405504    | 056.77834078756   | +23.71495856720   | 65010239900405504    | 7.3220    | 0.0451   | 19.493    | 0.077    | -44.235    | 0.050    | 0     | 12.0013   | 0.0006   | 12.5434   | 0.0026    | 11.3104   | 0.0018    | 1.25       | 1.2329   | 0.5421   | 0.6909   | 5.49     | 1.05    | 4964.00   | 0.1300   | 0.0630     | -121.7009847   | 28.3496438    | -55.11502288   | 0.89794   | -3.971986106   | -13.10746344   | -6.464735581   |
| Gaia DR2 65010549138050944    | 056.80647930781   | +23.71409194050   | 65010549138050944    | 7.3497    | 0.0439   | 19.962    | 0.089    | -45.483    | 0.053    | 0     | 12.2136   | 0.0012   | 12.7903   | 0.0042    | 11.5141   | 0.0032    | 1.242      | 1.2762   | 0.5768   | 0.6994   | 6.96     | 0.67    | 4908.36   | 0.2335   | 0.1100     | -121.2692576   | 28.20128988   | -54.87126475   | 0.86338   | -2.648623457   | -13.48003268   | -7.361723149   |
| Gaia DR2 65013474012743936    | 056.92168153869   | +23.74009204405   | 65013474012743936    | 7.3386    | 0.0328   | 19.406    | 0.067    | -44.443    | 0.052    | 0     | 13.3484   | 0.0020   | 14.1472   | 0.0096    | 12.4799   | 0.0058    | 1.299      | 1.6673   | 0.7987   | 0.8685   | 13.66    | 5.74    | 4357.62   | 0.1375   | 0.0685     | -121.5688039   | 28.12388141   | -54.75718762   | 0.71486   | 3.273784388    | -11.43591128   | -9.803871616   |
| Gaia DR2 65020414679879296    | 056.96895124929   | +23.94103047316   | 65020414679879296    | 7.4154    | 0.0542   | 19.842    | 0.096    | -46.460    | 0.056    | 0     | 9.7527    | 0.0006   | 10.0472   | 0.0010    | 9.3336    | 0.0014    | 1.186      | 0.7136   | 0.2945   | 0.4191   | 5.35     | 0.61    | 6003.30   | 0.0637   | 0.0313     | -120.4176503   | 28.10876885   | -53.80782423   | 1.37615   | -4.115717215   | -13.94085796   | -7.056352418   |
| Gaia DR2 65027595864800000    | 055.51978035036   | +22.85836436910   | 65027595864800000    | 7.3689    | 0.0470   | 20.971    | 0.115    | -44.809    | 0.067    | 1     | 9.0496    | 0.0004   | 9.3105    | 0.0015    | 8.6682    | 0.0007    | 1.182      | 0.6422   | 0.2608   | 0.3814   | 4.13     | 0.41    | 6363.00   | 0.3503   | 0.1665     | -119.4234907   | 28.50351653   | -57.80427123   | 1.5905    | -5.144902558   | -14.03946538   | -5.763845669   |
| Gaia DR2 65063707949772544    | 055.85234332979   | +23.22574851975   | 65063707949772544    | 7.1775    | 0.0379   | 20.779    | 0.069    | -41.476    | 0.049    | 0     | 10.3491   | 0.0005   | 10.7593   | 0.0012    | 9.7982    | 0.0019    | 1.21       | 0.9611   | 0.4102   | 0.5509   | 7.32     | 0.89    | 5338.00   | 0.3600   | 0.1780     | -123.0763477   | 29.41866259   | -58.29283311   | 1.23234   | -1.866906143   | -12.47786437   | -5.94416811    |
| Gaia DR2 65072435323295872    | 056.04683048823   | +23.37912579554   | 65072435323295872    | 7.4791    | 0.0508   | 21.989    | 0.105    | -46.662    | 0.064    | 0     | 11.1929   | 0.0022   | 11.6547   | 0.0059    | 10.6056   | 0.0042    | 1.211      | 1.0491   | 0.4618   | 0.5873   | 5.97     | 1.07    | 5068.67   | 0.1137   | 0.0645     | -118.3494437   | 28.21621397   | -55.44635962   | 1.03367   | -3.224198764   | -14.48552945   | -6.68052129    |
| Gaia DR2 65086591535491584    | 056.00257003003   | +23.54375019455   | 65086591535491584    | 7.2216    | 0.0443   | 19.458    | 0.119    | -44.681    | 0.059    | 0     | 10.8234   | 0.0015   | 11.2559   | 0.0040    | 10.2597   | 0.0025    | 1.208      | 0.9962   | 0.4325   | 0.5637   | 7.31     | 0.44    | 5238.00   | 0.2460   | 0.1160     | -122.5840621   | 29.57449881   | -57.21440489   | 1.12372   | -2.43701653    | -13.21669781   | -7.816306875   |
| Gaia DR2 65089336018173440    | 055.90729777834   | +23.53579411647   | 65089336018173440    | 7.3233    | 0.0535   | 19.363    | 0.121    | -45.381    | 0.060    | 0     | 10.5764   | 0.0014   | 10.9483   | 0.0044    | 10.0715   | 0.0030    | 1.199      | 0.8767   | 0.3719   | 0.5049   | 6.16     | 0.86    | 5502.16   | 0.0760   | 0.0295     | -120.7860695   | 29.28702554   | -56.55898877   | 1.17527   | -3.573376605   | -13.32388825   | -7.545019473   |
| Gaia DR2 65089473457126784    | 055.95261075515   | +23.53919962873   | 65089473457126784    | 7.2663    | 0.0289   | 21.604    | 0.071    | -44.348    | 0.036    | 0     | 13.4317   | 0.0007   | 14.2683   | 0.0031    | 12.5434   | 0.0012    | 1.305      | 1.7249   | 0.8365   | 0.8883   | 7.79     | 3.81    | 4045.33   | 0.1625   | 0.0760     | -121.7790866   | 29.45697589   | -56.93650368   | 0.70706   | -1.374407434   | -13.6895452    | -6.956429864   |
